winner;from;to
00002000;127782;127900
00002000;128240;128358
00002000;128698;128816
00002000;129156;129274
00002000;129614;129732
00002000;130072;130190
00002000;130530;130648
00002000;130988;131106
00002000;131446;131563
00002000;131904;132020
00002000;132362;132477
00002000;132820;132934
00002000;133278;133392
00002000;133736;133850
00002000;134194;134308
00002000;134652;134766
00002000;135110;135224
00002000;135568;135681
00002000;136026;136138
00002000;136484;136595
00002000;136942;137052
00002000;137400;137509
00002000;137858;137966
00002000;138316;138423
00002000;138774;138880
00002000;139232;139337
00002000;139690;139794
00002000;140148;140251
00002000;140606;140708
00002000;141064;141165
00002000;141522;141622
00002000;141980;142079
00002000;142438;142536
00002000;142896;142993
00002000;143354;143450
00002000;143812;143907
00002000;144270;144364
00002000;144728;144821
00002000;145186;145278
00002000;145644;145735
00002000;146102;146192
00002000;146560;146649
00002000;147018;147106
00002000;147476;147563
00002000;147934;148020
00002000;148392;148477
00002000;148850;148934
00002000;149308;149391
00002000;149766;149848
00002000;150224;150305
00002000;150682;150762
00002000;151140;151219
00002000;151598;151676
00002000;152056;152134
00002000;152514;152592
00002000;152972;153050
00002000;153430;153508
00002000;153888;153966
00002000;154346;154424
00002000;154804;154882
00002000;155262;155340
00002000;155720;155798
00002000;156178;156256
00002000;156636;156714
00002000;157094;157172
00002000;157552;157630
00002000;158010;158088
00002000;158468;158546
00002000;158926;159004
00002000;159384;159462
00002000;159842;159920
00002000;160300;160378
00002000;160758;160836
00002000;161216;161294
00002000;161674;161752
00002000;162132;162210
00002000;162590;162668
00002000;163048;163126
00002000;163506;163584
00002000;163964;164042
00002000;164422;164500
00002000;164880;164958
00002000;165338;165416
00002000;165796;165874
00002000;166254;166332
00002000;166712;166790
00002000;167170;167248
00002000;167628;167718
00002000;168086;168177
00002000;168544;168636
00002000;169002;169095
00002000;169460;169554
00002000;169918;170013
00002000;170376;170472
00002000;170834;170931
00002000;171292;171390
00002000;171750;171849
00002000;172208;172308
00002000;172666;172767
00002000;173124;173226
00002000;173582;173685
00002000;174040;174144
00002000;174498;174603
00002000;174956;175062
00002000;175414;175521
00002000;175872;175980
00002000;176330;176439
00002000;176788;176898
00002000;177246;177357
00002000;177704;177816
00002000;178162;178275
00002000;178620;178734
00002000;179078;179193
00002000;179536;179652
00002000;179994;180111
00002000;180452;180570
00002000;180910;181028
00002000;181368;181486
00002000;181826;181944
00002000;182284;182402
00002000;182742;182860
00002000;183200;183318
00002000;183658;183776
00002000;184116;184234
00002000;184574;184692
00002000;185032;185150
00002000;185490;185608
00002000;185948;186066
00002000;186406;186524
00002000;186864;186982
00002000;187322;187440
00002000;187780;187897
00002000;188238;188354
00002000;188696;188811
00002000;189154;189269
00002000;189612;189727
00002000;190070;190185
00002000;190528;190643
00002000;190986;191100
00002000;191444;191557
00002000;191902;192014
00002000;192360;192471
00002000;192818;192928
00002000;193276;193385
00002000;193734;193842
00002000;194192;194299
00002000;194650;194756
00002000;195108;195213
00002000;195566;195670
00002000;196024;196127
00002000;196482;196584
00002000;196940;197041
00002000;197398;197498
00002000;197856;197955
00002000;198314;198412
00002000;198772;198869
00002000;199230;199326
00002000;199688;199783
00002000;200146;200240
00002000;200604;200697
00002000;201062;201154
00002000;201520;201611
00002000;201978;202068
00002000;202436;202525
00002000;202894;202982
00002000;203352;203439
00002000;203810;203896
00002000;204268;204353
00002000;204726;204810
00002000;205184;205267
00002000;205642;205724
00002000;206100;206181
00002000;206558;206638
00002000;207016;207095
00002000;207474;207552
00002000;207932;208010
00002000;208390;208468
00002000;208848;208926
00002000;209306;209384
00002000;209764;209842
00002000;210222;210300
00002000;210680;210758
00002000;211138;211216
00002000;211596;211674
00002000;212054;212132
00002000;212512;212590
00002000;212970;213048
00002000;213428;213506
00002000;213886;213964
00002000;214344;214422
00002000;214802;214880
00002000;215260;215338
00002000;215718;215796
00002000;216176;216254
00002000;216634;216712
00002000;217092;217170
00002000;217550;217628
00002000;218008;218086
00002000;218466;218544
00002000;218924;219002
00002000;219382;219460
00002000;219840;219918
00002000;220298;220376
00002000;220756;220834
00002000;221214;221292
00002000;221672;221750
00002000;222130;222208
00002000;222588;222666
00002000;223046;223124
00002000;223504;223595
00002000;223962;224054
00002000;224420;224513
00002000;224878;224972
00002000;225336;225431
00002000;225794;225890
00002000;226252;226349
00002000;226710;226808
00002000;227168;227267
00002000;227626;227726
00002000;228084;228185
00002000;228542;228644
00002000;229000;229103
00002000;229458;229562
00002000;229916;230021
00002000;230374;230480
00002000;230832;230939
00002000;231290;231398
00002000;231748;231857
00002000;232206;232316
00002000;232664;232775
00002000;233122;233234
00002000;233580;233693
00002000;234038;234152
00002000;234496;234611
00002000;234954;235070
00002000;235412;235529
00002000;235870;235988
00002000;236328;236446
00002000;236786;236904
00002000;237244;237362
00002000;237702;237820
00002000;238160;238278
00002000;238618;238736
00002000;239076;239194
00002000;239534;239652
00002000;239992;240110
00002000;240450;240568
00002000;240908;241026
00002000;241366;241484
00002000;241824;241942
00002000;242282;242400
00002000;242740;242858
00002000;243198;243316
00002000;243656;243774
00002000;244114;244231
00002000;244572;244688
00002000;245030;245146
00002000;245488;245604
00002000;245946;246062
00002000;246404;246519
00002000;246862;246976
00002000;247320;247433
00002000;247778;247890
00002000;248236;248347
00002000;248694;248804
00002000;249152;249261
00002000;249610;249718
00002000;250068;250175
00002000;250526;250632
00002000;250984;251089
00002000;251442;251546
00002000;251900;252003
00002000;252358;252460
00002000;252816;252917
00002000;253274;253374
00002000;253732;253831
00002000;254190;254288
00002000;254648;254745
00002000;255106;255202
00002000;255564;255659
00002000;256022;256116
00002000;256480;256573
00002000;256938;257030
00002000;257396;257487
00002000;257854;257944
00002000;258312;258401
00002000;258770;258858
00002000;259228;259315
00002000;259686;259772
00002000;260144;260229
00002000;260602;260686
00002000;261060;261143
00002000;261518;261600
00002000;261976;262057
00002000;262434;262514
00002000;262892;262971
00002000;263350;263428
00002000;263808;263886
00002000;264266;264344
00002000;264724;264802
00002000;265182;265260
00002000;265640;265718
00002000;266098;266176
00002000;266556;266634
00002000;267014;267092
00002000;267472;267550
00002000;267930;268008
00002000;268388;268466
00002000;268846;268924
00002000;269304;269382
00002000;269762;269840
00002000;270220;270298
00002000;270678;270756
00002000;271136;271214
00002000;271594;271672
00002000;272052;272130
00002000;272510;272588
00002000;272968;273046
00002000;273426;273504
00002000;273884;273962
00002000;274342;274420
00002000;274800;274878
00002000;275258;275336
00002000;275716;275794
00002000;276174;276252
00002000;276632;276710
00002000;277090;277168
00002000;277548;277626
00002000;278006;278084
00002000;278464;278542
00002000;278922;279000
00002000;279380;279472
00002000;279838;279931
00002000;280296;280390
00002000;280754;280849
00002000;281212;281308
00002000;281670;281767
00002000;282128;282226
00002000;282586;282685
00002000;283044;283144
00002000;283502;283603
00002000;283960;284062
00002000;284418;284521
00002000;284876;284980
00002000;285334;285439
00002000;285792;285898
00002000;286250;286357
00002000;286708;286816
00002000;287166;287275
00002000;287624;287734
00002000;288082;288193
00002000;288540;288652
00002000;288998;289111
00002000;289456;289570
00002000;289914;290029
00002000;290372;290488
00002000;290830;290947
00002000;291288;291406
00002000;291746;291864
00002000;292204;292322
00002000;292662;292780
00002000;293120;293238
00002000;293578;293696
00002000;294036;294154
00002000;294494;294612
00002000;294952;295070
00002000;295410;295528
00002000;295868;295986
00002000;296326;296444
00002000;296784;296902
00002000;297242;297360
00002000;297700;297818
00002000;298158;298276
00002000;298616;298734
00002000;299074;299192
00002000;299532;299650
00002000;299990;300108
00002000;300448;300565
00002000;300906;301023
00002000;301364;301481
00002000;301822;301938
00002000;302280;302395
00002000;302738;302852
00002000;303196;303309
00002000;303654;303766
00002000;304112;304223
00002000;304570;304680
00002000;305028;305137
00002000;305486;305594
00002000;305944;306051
00002000;306402;306508
00002000;306860;306965
00002000;307318;307422
00002000;307776;307879
00002000;308234;308336
00002000;308692;308793
00002000;309150;309250
00002000;309608;309707
00002000;310066;310164
00002000;310524;310621
00002000;310982;311078
00002000;311440;311535
00002000;311898;311992
00002000;312356;312449
00002000;312814;312906
00002000;313272;313363
00002000;313730;313820
00002000;314188;314277
00002000;314646;314734
00002000;315104;315191
00002000;315562;315648
00002000;316020;316105
00002000;316478;316562
00002000;316936;317019
00002000;317394;317476
00002000;317852;317933
00002000;318310;318390
00002000;318768;318847
00002000;319226;319304
00002000;319684;319762
00002000;320142;320220
00002000;320600;320678
00002000;321058;321136
00002000;321516;321594
00002000;321974;322052
00002000;322432;322510
00002000;322890;322968
00002000;323348;323426
00002000;323806;323884
00002000;324264;324342
00002000;324722;324800
00002000;325180;325258
00002000;325638;325716
00002000;326096;326174
00002000;326554;326632
00002000;327012;327090
00002000;327470;327548
00002000;327928;328006
00002000;328386;328464
00002000;328844;328922
00002000;329302;329380
00002000;329760;329838
00002000;330218;330296
00002000;330676;330754
00002000;331134;331212
00002000;331592;331670
00002000;332050;332128
00002000;332508;332586
00002000;332966;333044
00002000;333424;333502
00002000;333882;333960
00002000;334340;334418
00002000;334798;334876
00002000;335256;335349
00002000;335714;335808
00002000;336172;336267
00002000;336630;336726
00002000;337088;337185
00002000;337546;337644
00002000;338004;338103
00002000;338462;338562
00002000;338920;339021
00002000;339378;339480
00002000;339836;339939
00002000;340294;340398
00002000;340752;340857
00002000;341210;341316
00002000;341668;341775
00002000;342126;342234
00002000;342584;342693
00002000;343042;343152
00002000;343500;343611
00002000;343958;344070
00002000;344416;344529
00002000;344874;344988
00002000;345332;345447
00002000;345790;345906
00002000;346248;346365
00002000;346706;346824
00002000;347164;347282
00002000;347622;347740
